,holiday,date,lower_window,upper_window,ds
1,New Year's Day,2022/1/1,-1,2,2022/1/1
2,New Year's Day,2022/1/3,-1,2,2022/1/3
3,Australia Day,2022/1/26,-1,2,2022/1/26
4,Labour Day,2022/3/14,-1,2,2022/3/14
5,Good Friday,2022/4/15,-1,2,2022/4/15
6,Easter Saturday,2022/4/16,-1,2,2022/4/16
7,Easter Sunday,2022/4/17,-1,2,2022/4/17
8,Easter Monday,2022/4/18,-1,2,2022/4/18
9,ANZAC Day,2022/4/25,-1,2,2022/4/25
10,Queen's Birthday,2022/6/13,-1,2,2022/6/13
11,Mourning for Her Majesty,2022/9/22,-1,2,2022/9/22
12,AFL Grand Final Day,2022/9/23,-1,2,2022/9/23
13,Melbourne Cup,2022/11/1,-1,2,2022/11/1
14,Christmas Day,2022/12/25,-1,2,2022/12/25
15,Boxing Day,2022/12/26,-1,2,2022/12/26
16,Christmas Day,2022/12/27,-1,2,2022/12/27
17,New Year's Day,2023/1/1,-1,2,2023/1/1
18,New Year's Day,2023/1/2,-1,2,2023/1/2
19,Australia Day,2023/1/26,-1,2,2023/1/26
20,Labour Day,2023/3/13,-1,2,2023/3/13
21,Good Friday,2023/4/7,-1,2,2023/4/7
22,Easter Saturday,2023/4/8,-1,2,2023/4/8
23,Easter Sunday,2023/4/9,-1,2,2023/4/9
24,Easter Monday,2023/4/10,-1,2,2023/4/10
25,ANZAC Day,2023/4/25,-1,2,2023/4/25
26,Queen's Birthday,2023/6/12,-1,2,2023/6/12
27,AFL Grand Final Day,2023/9/29,-1,2,2023/9/29
28,Melbourne Cup,2023/11/7,-1,2,2023/11/7
29,Christmas Day,2023/12/25,-1,2,2023/12/25
30,Boxing Day,2023/12/26,-1,2,2023/12/26
31,New Year's Day,2024/1/1,-1,2,2024/1/1
32,Australia Day,2024/1/26,-1,2,2024/1/26
33,Labour Day,2024/3/11,-1,2,2024/3/11
34,Good Friday,2024/3/29,-1,2,2024/3/29
35,Easter Saturday,2024/3/30,-1,2,2024/3/30
36,Easter Sunday,2024/3/31,-1,2,2024/3/31
37,Easter Monday,2024/4/1,-1,2,2024/4/1
38,ANZAC Day,2024/4/25,-1,2,2024/4/25
39,Queen's Birthday,2024/6/10,-1,2,2024/6/10
40,Melbourne Cup,2024/11/5,-1,2,2024/11/5
41,Christmas Day,2024/12/25,-1,2,2024/12/25
42,Boxing Day,2024/12/26,-1,2,2024/12/26
43,New Year's Day,2025/1/1,-1,2,2025/1/1
44,Australia Day,2025/1/26,-1,2,2025/1/26
45,Australia Day,2025/1/27,-1,2,2025/1/27
46,Labour Day,2025/3/10,-1,2,2025/3/10
47,Good Friday,2025/4/18,-1,2,2025/4/18
48,Easter Saturday,2025/4/19,-1,2,2025/4/19
49,Easter Sunday,2025/4/20,-1,2,2025/4/20
50,Easter Monday,2025/4/21,-1,2,2025/4/21
51,ANZAC Day,2025/4/25,-1,2,2025/4/25
52,Queen's Birthday,2025/6/9,-1,2,2025/6/9
53,Melbourne Cup,2025/11/4,-1,2,2025/11/4
54,Christmas Day,2025/12/25,-1,2,2025/12/25
55,Boxing Day,2025/12/26,-1,2,2025/12/26
