uuid,name,type,date,description
ef7d4ae7-80b5-45ef-b5d3-301160cf93cd,ANZAC Day,PUBLIC_HOLIDAY,2024-04-25,
46f176fa-af09-4eb3-a0ac-716419d65ca8,ANZAC Day,PUBLIC_HOLIDAY,2022-04-25,
ffe1b4db-9f54-4593-b330-9b435cfdb3cb,ANZAC Day,PUBLIC_HOLIDAY,2023-04-25,
54f7a69f-fcaf-44de-ade2-14662025e067,ANZAC Day,PUBLIC_HOLIDAY,2025-04-25,
1e179a63-f477-4b4c-9bc4-6025fc380f8f,Australia Day,PUBLIC_HOLIDAY,2024-01-26,
d6ff6693-81f7-477b-aba1-8c4d641b89c7,Australia Day,PUBLIC_HOLIDAY,2023-01-26,
a5b7f1a4-9678-4df9-9b2f-08e03fdeadfc,Australia Day,PUBLIC_HOLIDAY,2022-01-26,
91564b78-6360-4c32-b285-57e9022065df,Australia Day,PUBLIC_HOLIDAY,2025-01-26,
a846c8b9-1898-443c-87fd-87ecfbf3e19c,Australia Day - As Australia Day falls on a Sunday the public holiday is on the following Monday,PUBLIC_HOLIDAY,2025-01-27,
d6c3b73b-ad63-4760-9570-8d6e1ac26089,Boxing Day,PUBLIC_HOLIDAY,2023-12-26,
4c0ba00f-a080-44c9-9e87-2e0f99ec8469,Boxing Day,PUBLIC_HOLIDAY,2024-12-26,
2ca4f7a3-11f1-417a-b8a6-c35d230cd018,Boxing Day,PUBLIC_HOLIDAY,2022-12-26,
383d6f82-4200-4265-ae85-47fe85dc44eb,Boxing Day,PUBLIC_HOLIDAY,2025-12-26,
15c9efb9-fefa-477b-8657-66952af5eaa9,Christmas Day,PUBLIC_HOLIDAY,2023-12-25,
0dbd66e3-aefa-401c-ac17-f43473c1f825,Christmas Day,PUBLIC_HOLIDAY,2022-12-25,
3c78a6ca-749c-43b4-87c2-37e1158b48d9,Christmas Day,PUBLIC_HOLIDAY,2025-12-25,
594a7bb2-44c9-4014-a531-ccfa8aac5170,Christmas Day,PUBLIC_HOLIDAY,2024-12-25,
9a356440-37f9-49e2-b667-f9610e6cd83e,Christmas Day - additional public holiday,PUBLIC_HOLIDAY,2022-12-27,As Christmas Day falls on a Sunday the following Tuesday is an additional public holiday
f9a038be-733b-4087-a874-99236787730b,Easter Monday,PUBLIC_HOLIDAY,2022-04-18,
10631460-eed6-4966-9e3e-1cd275027aa7,Easter Monday,PUBLIC_HOLIDAY,2024-04-01,
1fa4af9c-124c-43cf-8deb-6eca52ab4f66,Easter Monday,PUBLIC_HOLIDAY,2025-04-21,
d26d8982-a6a8-4cc3-9844-6f6a186e1d91,Easter Monday,PUBLIC_HOLIDAY,2023-04-10,
fb758822-0033-438a-b6c5-a9647ae06f86,Easter Sunday,PUBLIC_HOLIDAY,2022-04-17,
1ab34f44-98aa-4028-90d6-b57d0a9df815,Easter Sunday,PUBLIC_HOLIDAY,2025-04-20,
